index,text,label
646,are you twitch single?,clean
2769,"@drsoils no need to be sorry, I liked it. LOL",clean
2097,"My sens is irrelevant to you, do what's comfortable for you. Copying other people's sens won't make you good at the game, we have different length arms and grips and different resistance mousepads / mouse feet - some mouse sensors are even different.",clean
2389,kekwwwwwwww,clean
2045,noice team work forsenCD,clean
724,(,clean
2215,it makes it even more difficult,clean
1382,Please chat only in English here,clean
2181,rando squad?,clean
107,In 12 mins,clean
2129,ha ha ha,clean
2757,"Hey Ham. sorry for spam but you took a toiletbreak,quick question. Do you know how PUBG gives you teammates in squad and duo if you are playing without friends? It seems like i always get the new players when i try to team up. You know if they choose players by hidden rank or is it just random? The question was not as quick tho.. Haha, GG's! Have a great stream, as always hambLove",clean
1156,Thatâ€™s pretty pathetic. I stick with the One X I think. First time in my 30+ years of gaming that I havenâ€™t been excited for a next gen console.,clean
2268,in a Payload game the other day one of the randoms started shooting grens at me,clean
2178,only 52 alive?,clean
190,I see HoB more,clean
1584,danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect danucdRespect,clean
1278,EZ GG,clean
1191,Still waitin for update on xbox I'm buying on pc next week annoyed lol,clean
510,"BTW. I'm going to keep streaming, because I genuinely like it. Expect them all to be super late though because that's legit the ONLY time I am able to stream.

I am only streaming League of Legends because that's all I care to play these days.

Hope you enjoyed my dose of reality",clean
2263,you can try this to them ciao nee mud,clean
1766,hello and bye @melihozkiremitci,clean
2480,@animoputt I get it dude. just pokin ya.,clean
797,Pepega,clean
790,ewqawertqerqawertesaqweewtqa,clean
1208,"hamit) Weather for Hamit, TR: Clear sky with a temperature of 21 C (69.8 F). Wind is blowing from the East at 10.3 kph (6.4 mph) and the humidity is 21%",clean
1895,Support always,clean
2040,"fessn1 all the clips got deleted to prevent dmca strikes, so theres no command at the moment",clean
1605,Nt,clean
803,stop watch Pog,clean
2621,pec a doodle doo hollyw14Verticalforegrip,clean
63,JESUS CHRIST,clean
2150,rawryyLaugh NT NT,clean
1262,hey,clean
621,PepeLaugh,clean
1596,yeah,clean
592,DD,clean
570,you W'd there because you were anticipating flash 4Head,clean
2197,he said frist time FPP,clean
1928,danucdChair,clean
1494,@Adooool18 thank you gift ddanucdBukulove,clean
1958,https://specs.gg/tgltn,clean
590,nb3LUL nb3LUL nb3LUL,clean
2550,hamb10 hamb10,clean
2177,@escamoli yeah,clean
593,5Head,clean
1315,alisaGG alisaGG alisaGG alisaGG naught14Luv naught14Luv naught14Nuts naught14Nuts naught14Nuts naught14Luv naught14Nuts naught14Luv naught14Nuts,clean
253,I fucking love those videos,clean
2400,got a song for you @ibiza,clean
2487,@noswal84 there is a reason for that....typical US Army infantry PLT is around that number,clean
2527,@ty_gets_rekt eleven10Gooba eleven10Gooba eleven10Gooba,clean
2228,that he's got none helmet,clean
2139,ha ha ha comms,clean
224,LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOOOOO,clean
1321,zedraFlexL natiCreep zedraFlexR zedraLove zedraGG,clean
1447,@Adooool18 Thanks for the gift sub! soggyWow brkSmaK soggyWow brkSmaK soggyPog brkTSM,clean
2649,doooooo it,clean
119,Hes deceptilvely tanky and does not give a hairy rats ass about CC.,clean
2033,get out rogue,clean
2557,What up hamily hambO7 hambO7,clean
1510,"Jesus, it's a warzone in that city monkaS",clean
1108,any way i can use my pubg on console on pc ? Dont got enough to get pubg on pc,clean
1678,danucdHypePrime,clean
1432,@Scoom danucdRespect mitKalp,clean
1560,how old she is,clean
610,@Yamikazexz who's your twitch crush? like a female streamer not taco LUL,clean
762,@Yamikazexz you are getting close to 400 CS DOINB HACK,clean
